City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
428,Lompoc,US,83.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
429,Carcassonne,FR,80.22,clear sky,43.25,2.1667,Domaine Les Magasins
432,Nagato,JP,84.99,broken clouds,34.3833,131.2,いそう庵
433,Port Arthur,CN,84.42,few clouds,38.8,121.2667,Friendship Hotel
434,Portland,US,85.66,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
437,Aripuana,BR,82.2,overcast clouds,-9.1667,-60.6333,
441,Ahuimanu,US,81.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
446,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
447,Palauig,PH,78.58,moderate rain,15.435,119.9045,Villa Raphael Resort
448,Bay City,US,82.65,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
457,Vanimo,PG,80.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
459,Bull Savanna,JM,79.03,broken clouds,17.8868,-77.5902,Big Red's
463,Hoi An,VN,78.76,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
467,Abnub,EG,86.22,broken clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
470,Pinillos,CO,75.94,overcast clouds,8.9193,-74.4677,HOTEL CASA BLANCA
472,Dawei,MM,75.54,overcast clouds,14.0833,98.2,Hotel Dawei
474,Itarema,BR,78.03,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
478,Palmer,US,85.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
479,Sherpur,BD,79.95,moderate rain,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
482,Kloulklubed,PW,83.17,broken clouds,7.0419,134.2556,Storyboard Beach Resort
489,Mazatlan,MX,88.02,scattered clouds,23.2167,-106.4167,Hotel La Siesta
490,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
492,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
494,Campbell River,CA,77.59,few clouds,50.0163,-125.2446,Anchor Inn & Suites
496,Broome,US,77.9,clear sky,42.2506,-75.833,Chenango Valley State Park
498,Huanren,CN,77.54,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
500,Ararat,AM,77.34,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
503,Ishigaki,JP,86.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
505,Saint Anthony,US,88.03,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
507,Grand-Santi,GF,75.07,few clouds,4.25,-54.3833,Hotel La Villa Couacou
512,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
515,Sao Raimundo Nonato,BR,78.12,few clouds,-9.0153,-42.6994,Real Hotel
518,Sur,OM,86.77,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
520,Pontian Kecil,MY,76.8,light rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
523,Acapulco,MX,81.48,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
532,Codigoro,IT,78.1,clear sky,44.8311,12.1142,casa maria
540,Alofi,NU,76.35,light rain,-19.0595,-169.9187,Taloa Heights
542,Arlit,NE,88.75,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
544,Trebinje,BA,80.96,clear sky,42.7119,18.3442,Hotel Aćimović
547,Wakema,MM,76.77,overcast clouds,16.6,95.1833,Aung Kaday Hotel
551,Manadhoo,MV,80.15,light rain,5.7667,73.3833,Bon Abri maldives
552,Vila Do Maio,CV,78.31,broken clouds,15.1333,-23.2167,Hotel Marilu
554,Atambua,ID,75.74,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
557,Nara,JP,87.96,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
563,Tongliao,CN,81.46,scattered clouds,43.6125,122.2653,Meirujia Hotel
569,Marinette,US,77.05,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
571,Yako,BF,76.75,overcast clouds,12.9667,-2.2667,CADAAY
578,Dalnerechensk,RU,77.41,broken clouds,45.9339,133.7225,"Royal Cafe, Bar, Hotel"
579,Cabra,ES,76.69,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
