City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
254,Nizhniy Kuranakh,RU,58.8353,125.4869,52.5,97,100,4.5,light rain
255,Xacmaz,AZ,41.4635,48.806,75.42,63,88,7.0,overcast clouds
256,Ingham,US,42.6,-84.3833,83.82,80,40,0.0,scattered clouds
257,Nakamura,JP,32.9833,132.9333,86.4,69,16,0.98,few clouds
258,Hobbs,US,32.7026,-103.136,98.06,21,95,8.01,overcast clouds
259,Dublin,US,37.7021,-121.9358,86.02,58,0,16.11,clear sky
260,Sola,VU,-13.8833,167.55,80.96,76,40,17.83,scattered clouds
261,Gornopravdinsk,RU,60.05,69.9,60.6,80,92,3.87,overcast clouds
262,Yumen,CN,40.2833,97.2,76.57,33,93,13.76,overcast clouds
263,Sibolga,ID,1.7427,98.7792,75.61,74,90,3.04,overcast clouds
264,Nanortalik,GL,60.1432,-45.2371,46.51,91,100,11.03,overcast clouds
265,Kodiak,US,57.79,-152.4072,63.91,45,0,18.41,clear sky
266,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,12.66,scattered clouds
267,Abu Samrah,SY,35.3029,37.1841,81.93,35,0,8.57,clear sky
268,Seoul,KR,37.5683,126.9778,83.77,84,75,6.91,broken clouds
269,Moa,CU,20.6569,-74.9403,80.11,82,99,12.08,overcast clouds
270,Aksarka,RU,66.5606,67.7975,58.26,87,74,9.19,broken clouds
271,Cidreira,BR,-30.1811,-50.2056,52.09,74,48,9.04,scattered clouds
272,Marathon,US,44.9,-89.7668,83.73,53,0,11.5,clear sky
273,Coromandel,BR,-18.4733,-47.2003,69.66,35,0,1.32,clear sky
274,San Quintin,MX,30.4833,-115.95,75.34,74,0,14.72,clear sky
275,Lagos,NG,6.5833,3.75,75.52,89,92,4.41,overcast clouds
276,Darnah,LY,32.767,22.6367,79.0,72,0,15.21,clear sky
277,College,US,64.8569,-147.8028,53.58,94,75,12.66,light rain
278,Mathathane,BW,-22.2687,28.7495,66.94,42,0,7.36,clear sky
279,Ulaangom,MN,49.9811,92.0667,58.6,57,70,4.68,broken clouds
280,Kupang,ID,-10.1667,123.5833,76.87,69,86,5.17,overcast clouds
281,Bengkulu,ID,-3.8004,102.2655,74.03,81,43,4.83,scattered clouds
282,Moose Factory,CA,51.2585,-80.6094,77.0,57,100,5.75,overcast clouds
283,Ust-Omchug,RU,61.15,149.6333,59.45,73,100,7.14,overcast clouds
284,Puerto Carreno,CO,6.189,-67.4859,84.18,79,75,6.91,broken clouds
285,Cayenne,GF,4.9333,-52.3333,82.09,1,0,4.61,clear sky
286,Axim,GH,4.8699,-2.2405,72.61,83,31,5.59,scattered clouds
287,Dingle,PH,10.9995,122.6711,79.2,84,99,2.64,overcast clouds
288,Kysyl-Syr,RU,63.8986,122.7617,50.97,94,100,10.29,overcast clouds
289,Roma,US,43.2128,-75.4557,80.96,81,69,1.01,broken clouds
290,Ahipara,NZ,-35.1667,173.1667,60.87,66,69,7.0,broken clouds
291,Deori Khas,IN,23.4,79.0167,77.67,83,64,3.67,broken clouds
292,Manggar,ID,-2.8833,108.2667,79.45,76,100,5.39,overcast clouds
293,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,93,75,6.91,light snow
294,Carnarvon,AU,-24.8667,113.6333,59.05,54,0,12.97,clear sky
295,Gavrilovka Vtoraya,RU,52.877,42.7663,66.02,71,4,5.86,clear sky
296,Livingstonia,MW,-10.606,34.1063,56.71,69,1,2.04,clear sky
297,Sioux Lookout,CA,50.1001,-91.917,73.47,73,100,12.66,overcast clouds
298,Codrington,AU,-38.2667,141.9667,48.85,94,82,7.02,broken clouds
299,Luwuk,ID,-0.9516,122.7875,75.94,85,100,2.1,overcast clouds
300,Mount Gambier,AU,-37.8333,140.7667,52.38,90,63,3.22,broken clouds
301,Edd,ER,13.9297,41.6925,89.22,64,55,7.36,light rain
302,Berlevag,NO,70.8578,29.0864,51.6,87,91,9.22,overcast clouds
303,Springdale,US,36.1867,-94.1288,93.81,53,0,8.05,clear sky
304,Nouadhibou,MR,20.931,-17.0347,70.75,90,3,8.66,clear sky
305,Te Anau,NZ,-45.4167,167.7167,51.24,83,73,4.45,broken clouds
306,Avera,US,33.194,-82.5271,85.37,73,92,8.3,overcast clouds
307,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.04,87,19,6.38,few clouds
308,Komatipoort,ZA,-25.4332,31.9548,63.55,97,13,1.9,few clouds
309,Nome,US,64.5011,-165.4064,56.1,76,100,10.09,light rain
310,Sumbe,AO,-11.2061,13.8437,66.22,89,41,2.86,scattered clouds
311,Bosaso,SO,11.2842,49.1816,90.72,41,29,14.07,scattered clouds
312,Rockhampton,AU,-23.3833,150.5,71.49,83,100,4.61,overcast clouds
313,Shangqiu,CN,34.45,115.65,85.75,74,0,7.94,clear sky
314,Chicama,PE,-7.8447,-79.1469,59.54,83,90,7.78,overcast clouds
315,Santa Isabel,BR,-23.3156,-46.2214,60.51,87,89,4.32,overcast clouds
316,Navahrudak,BY,53.6,25.8333,68.47,77,70,5.77,broken clouds
317,Ixtapa,MX,20.7,-105.2,85.23,68,73,3.0,broken clouds
318,Severnyy-Kospashskiy,RU,59.0925,57.8008,54.61,94,95,0.85,overcast clouds
319,Verkhnyaya Inta,RU,65.9811,60.3094,57.29,92,94,10.36,overcast clouds
320,Lasa,IT,46.6166,10.7002,65.28,90,46,4.85,scattered clouds
321,Garden City,US,42.3256,-83.331,84.15,76,34,5.97,scattered clouds
322,San Cristobal,VE,7.7669,-72.225,75.38,99,92,2.95,overcast clouds
323,Alexandria,EG,31.2156,29.9553,75.74,73,0,10.8,clear sky
324,Buchanan,LR,5.8808,-10.0467,75.4,82,100,6.15,overcast clouds
325,Onega,RU,63.9061,38.1404,62.49,82,18,6.96,few clouds
326,Peleduy,RU,59.6289,112.7406,53.73,96,92,6.78,overcast clouds
327,Gazojak,TM,41.1875,61.4036,76.33,40,0,8.32,clear sky
328,Nantucket,US,41.2835,-70.0995,82.45,84,20,12.66,few clouds
329,Shenzhen,CN,22.5455,114.0683,82.85,90,95,4.79,overcast clouds
330,Aguas Vermelhas,BR,-15.7472,-41.46,64.22,66,8,3.06,clear sky
331,Denpasar,ID,-8.65,115.2167,74.86,94,20,2.3,few clouds
332,Crevenicu,RO,44.2408,25.5886,79.0,54,40,7.0,scattered clouds
